frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
156,off,medium,off,cuda,float32,34,H23O11,-22902.3632812,-673.598920037,12.0130504344,4.27652948922,1,1,,ok,
157,off,medium,off,cuda,float32,31,H21O10,-20821.5371094,-671.662487399,7.9822099531,3.70078755423,1,1,,ok,
158,off,medium,off,cuda,float32,27,H18O9,-18725.3457031,-693.531322338,8.89013669517,3.83108282297,0,0,,ok,
159,off,medium,off,cuda,float32,27,H18O9,-18723.9335938,-693.479021991,9.90433985788,4.35981245,0,0,,ok,
160,off,medium,off,cuda,float32,43,H29O14,-29139.8652344,-677.67128452,10.2901612006,4.25982285115,1,1,,ok,
161,off,medium,off,cuda,float32,40,H27O13,-27061.0917969,-676.527294922,7.20816003614,3.48609102698,1,1,,ok,
162,off,medium,off,cuda,float32,25,H17O8,-16659.4648438,-666.37859375,9.3178180985,3.84200566925,1,1,,ok,
163,off,medium,off,cuda,float32,27,H18O9,-18722.6933594,-693.433087384,12.8679594821,5.10317954912,0,0,,ok,
164,off,medium,off,cuda,float32,30,H20O10,-20803.5136719,-693.450455729,10.3208861434,4.54156953099,0,0,,ok,
165,off,medium,off,cuda,float32,28,H19O9,-18739.0976562,-669.253487723,12.143785362,5.19028847777,1,1,,ok,
166,off,medium,off,cuda,float32,31,H21O10,-20821.6738281,-671.666897681,5.40140935404,2.83607845961,1,1,,ok,
167,off,medium,off,cuda,float32,37,H25O12,-24981.4277344,-675.173722551,8.58104620052,3.93844918175,1,1,,ok,
168,off,medium,off,cuda,float32,40,H27O13,-27063.5683594,-676.589208984,7.3865142308,3.57055918919,1,1,,ok,
169,off,medium,off,cuda,float32,40,H27O13,-27063.4042969,-676.585107422,9.27772407558,4.24354099836,1,1,,ok,
170,off,medium,off,cuda,float32,37,H25O12,-24983.4453125,-675.228251689,6.72624043099,3.42724223418,1,1,,ok,
171,off,medium,off,cuda,float32,37,H25O12,-24981.1738281,-675.16686022,9.62575674339,3.61360502979,1,1,,ok,
172,off,medium,off,cuda,float32,42,H28O14,-29125.0410156,-693.453357515,7.20266036634,3.62425244871,0,0,,ok,
173,off,medium,off,cuda,float32,31,H21O10,-20818.9296875,-671.578377016,10.8317251546,4.4787631167,1,1,,ok,
174,off,medium,off,cuda,float32,39,H26O13,-27046.4980469,-693.49994992,6.71767128213,3.13889988272,0,0,,ok,
175,off,medium,off,cuda,float32,30,H20O10,-20804.4609375,-693.48203125,11.6840695637,4.42997951432,0,0,,ok,
176,off,medium,off,cuda,float32,36,H24O12,-24964.1210938,-693.44780816,13.5111121737,3.9872954192,0,0,,ok,
177,off,medium,off,cuda,float32,49,H33O16,-33300.640625,-679.604910714,11.2399027013,4.37855659654,1,1,,ok,
178,off,medium,off,cuda,float32,37,H25O12,-24981.2089844,-675.167810389,10.1704243371,4.60203544672,1,1,,ok,
179,off,medium,off,cuda,float32,35,H23O12,-24949.8125,-712.851785714,7.04729702018,3.21086262139,-1,-1,,ok,
