frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
165,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18719.4355469,-668.551269531,13.070861325,5.27843468276,1,1,0.999999975786,ok,
166,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20799.8125,-670.961693548,5.89846159692,2.98026789488,1,1,1.0000000149,ok,
167,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24956.1171875,-674.489653716,8.79161068696,4.11876237343,1,1,0.999999986961,ok,
168,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27037.2460938,-675.931152344,6.79661503537,3.55430811757,1,1,0.999999975786,ok,
169,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27037.1230469,-675.928076172,9.69865212898,4.20939326681,1,1,0.999999945983,ok,
170,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24961.3007812,-674.629750845,7.98148181252,3.58796587499,1,1,0.999999973923,ok,
171,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24958.6777344,-674.558857686,9.78193564589,3.9095245674,1,1,0.999999973923,ok,
172,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29106.6445312,-693.015345982,6.67362728371,3.51798854718,0,0,-1.86264514923e-09,ok,
173,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20800.296875,-670.977318548,10.9570673791,4.51846888362,1,1,1.00000004657,ok,
174,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27028.3457031,-693.034505208,5.87741055722,3.06607833015,0,0,-1.86264514923e-09,ok,
175,polar1m,polar-1-m,polar,cuda,float32,30,H20O10,-20789.8789062,-692.995963542,12.4508320347,4.58781480387,0,0,7.45058059692e-09,ok,
176,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24946.5039062,-692.95844184,14.1808810915,4.22055609584,0,0,1.86264514923e-08,ok,
